Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
2,1:23,2,1,SFO 37,14,10,Trayveon Williams up the middle for 7 yards (tackle by Arik Armstead and Clelin Ferrell),3.19,3.58
2,1:02,1,10,SFO 30,14,10,Joe Burrow pass complete short middle to Tyler Boyd for 11 yards (tackle by Tashaun Gipson and Isaiah Oliver),3.58,4.31
2,0:52,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:52,1,10,SFO 19,14,10,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Dre Greenlaw and Fred Warner),4.31,5.36
2,0:41,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:41,2,1,SFO 10,14,10,Joe Burrow pass complete short left to Joe Mixon for 7 yards (tackle by Talanoa Hufanga),5.36,6.51
2,0:38,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:38,1,3,SFO 3,14,10,"Joe Burrow pass complete short right to Irv Smith for -1 yards. Irv Smith fumbles (forced by Clelin Ferrell), recovered by Isaiah Oliver at SF-5 (tackle by Clelin Ferrell) (tackle by Clelin Ferrell) (tackle by Isaiah Oliver)",6.51,0.38
2,0:31,1,10,SFO 5,14,10,Brock Purdy pass complete deep middle to George Kittle for 34 yards (tackle by Daxton Hill),-0.38,1.53
2,0:24,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:24,1,10,SFO 39,14,10,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,1.53,0.99
2,0:19,2,10,SFO 39,14,10,Brock Purdy pass incomplete short left,0.99,0.3
2,0:13,3,10,SFO 39,14,10,Christian McCaffrey right tackle for 16 yards (tackle by Logan Wilson and Nick Scott),0.3,2.59
3,15:00,,,SFO 35,14,10,"Jake Moody kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,CIN 25,14,10,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Charvarius Ward),0.61,0.06
3,14:56,2,10,CIN 25,14,10,"Joe Burrow pass incomplete intended for Ja'Marr Chase. Penalty on Charvarius Ward: Defensive Pass Interference, 14 yards (accepted) (no play)",0.06,1.53
3,14:52,1,10,CIN 39,14,10,Joe Mixon up the middle for 1 yard (tackle by Talanoa Hufanga and Arik Armstead),1.53,1.12
3,14:16,2,9,CIN 40,14,10,Joe Burrow scrambles right tackle for 20 yards (tackle by Talanoa Hufanga),1.12,2.92
3,13:31,1,10,SFO 40,14,10,Joe Mixon right end for 1 yard (tackle by Charvarius Ward and Clelin Ferrell),2.92,2.51
3,12:49,2,9,SFO 39,14,10,Joe Burrow sacked by Arik Armstead for -7 yards,2.51,0.89
3,12:06,3,16,SFO 46,14,10,Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards (tackle by Talanoa Hufanga),0.89,0.72
3,11:14,4,8,SFO 38,17,10,Evan McPherson 56 yard field goal good,0.72,3
3,11:09,,,CIN 35,17,10,"Evan McPherson kicks off 65 yards, touchback.",0,0.61
3,11:09,1,10,SFO 25,17,10,"Christian McCaffrey for no gain. Penalty on Spencer Burford: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41
3,10:49,1,20,SFO 15,17,10,Brock Purdy scrambles left end for 2 yards (tackle by D.J. Reader),-0.41,-1.15
3,10:05,2,18,SFO 17,17,10,Brock Purdy pass complete deep middle to George Kittle for 32 yards (tackle by Daxton Hill),-1.15,2.19
3,9:22,1,10,SFO 49,17,10,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,2.19,1.65
3,9:14,2,10,SFO 49,17,10,Christian McCaffrey up the middle for 3 yards (tackle by Cameron Sample),1.65,1.36
3,8:34,3,7,CIN 48,17,10,Brock Purdy pass incomplete short middle intended for George Kittle,1.36,0.07
3,8:30,4,7,CIN 48,17,10,"Mitch Wishnowsky punts 29 yards, fair catch by Trenton Irwin at CIN-19",0.07,-0.15
3,8:22,1,10,CIN 19,17,10,Joe Mixon left end for 5 yards (tackle by Javon Kinlaw and Tashaun Gipson),0.15,0.34
3,7:47,2,5,CIN 24,17,10,Ja'Marr Chase right end for -8 yards (tackle by Isaiah Oliver),0.34,-1.59
3,7:05,3,13,CIN 16,17,10,Joe Burrow pass complete short right to Irv Smith for 11 yards (tackle by Fred Warner and Dre Greenlaw),-1.59,-1.57
3,6:18,4,2,CIN 27,17,10,"Brad Robbins punts 49 yards, fair catch by Ray-Ray McCloud at SF-24",-1.57,-0.54
