Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
2,1:07,3,12,LAR 12,7,14,"Jimmy Garoppolo pass complete short middle to Christian McCaffrey for 8 yards. Christian McCaffrey fumbles (forced by Bobby Wagner), recovered by George Kittle at LA-3 Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jimmy Garoppolo pass incomplete short middle intended for Christian McCaffrey (defended by Bobby Wagner)",3.1,2.63
2,1:04,4,12,LAR 12,10,14,Robbie Gould 29 yard field goal good,2.63,3
2,1:00,,,SFO 35,10,14,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
2,1:00,1,10,LAR 25,10,14,Ronnie Rivers left tackle for 4 yards (tackle by Drake Jackson),0.61,0.6
2,0:19,2,6,LAR 29,10,14,Ronnie Rivers right guard for 3 yards (tackle by Samson Ebukam),0.6,0.3
3,15:00,,,LAR 35,10,14,"Matt Gay kicks off 65 yards, touchback.",0,0.61
3,15:00,1,10,SFO 25,10,14,Christian McCaffrey up the middle for 25 yards (tackle by Derion Kendrick and Nick Scott),0.61,2.26
3,14:24,1,10,SFO 50,10,14,Christian McCaffrey up the middle for 1 yard (tackle by Nick Scott and Leonard Floyd),2.26,1.85
3,13:38,,,,,,Timeout #1 by San Francisco 49ers,,
3,13:38,2,9,LAR 49,10,14,Jimmy Garoppolo pass incomplete short middle intended for George Kittle (defended by Jalen Ramsey),1.85,1.16
3,13:34,3,9,LAR 49,10,14,Jimmy Garoppolo sacked by Greg Gaines for -4 yards,1.16,-0.26
3,12:54,4,13,SFO 47,10,14,"Mitch Wishnowsky punts 43 yards, fair catch by Brandon Powell at LA-10",-0.26,0.38
3,12:46,1,10,LAR 10,10,14,Ronnie Rivers right guard for 5 yards (tackle by Oren Burks and Fred Warner),-0.38,-0.35
3,12:02,2,5,LAR 15,10,14,Cooper Kupp left end for 5 yards (tackle by Jimmie Ward),-0.35,0.28
3,11:20,1,10,LAR 20,10,14,Matthew Stafford pass incomplete short right,0.28,-0.27
3,11:14,2,10,LAR 20,10,14,Darrell Henderson up the middle for 5 yards (tackle by Kevin Givens and Hassan Ridgeway),-0.27,-0.3
3,10:31,3,5,LAR 25,10,14,Matthew Stafford pass complete short middle to Allen Robinson for 13 yards (tackle by Talanoa Hufanga),-0.3,1.47
3,9:50,,,,,,Timeout #1 by Los Angeles Rams,,
3,9:50,1,10,LAR 38,10,14,Matthew Stafford pass incomplete deep left intended for Cooper Kupp,1.47,0.92
3,9:45,2,10,LAR 38,10,14,Darrell Henderson left tackle for 4 yards (tackle by Fred Warner and Talanoa Hufanga),0.92,0.76
3,9:01,3,6,LAR 42,10,14,Matthew Stafford pass incomplete short right intended for Cooper Kupp,0.76,-0.59
3,8:56,4,6,LAR 42,10,14,"Riley Dixon punts 54 yards, returned by Ray-Ray McCloud for 8 yards (tackle by Christian Rozeboom)",-0.59,0.35
3,8:45,1,10,SFO 12,10,14,Jimmy Garoppolo pass complete short left to Tyler Kroft for 6 yards (tackle by Derion Kendrick),-0.35,-0.07
3,8:03,2,4,SFO 18,10,14,Jimmy Garoppolo pass complete short middle to Brandon Aiyuk for 11 yards (tackle by Nick Scott),-0.07,0.87
3,7:23,1,10,SFO 29,10,14,"Christian McCaffrey left end for 3 yards. Christian McCaffrey fumbles (forced by Jalen Ramsey), recovered by Ray-Ray McCloud at SF-34 (tackle by Jalen Ramsey) (tackle by Jalen Ramsey)",0.87,1
3,6:36,2,5,SFO 34,10,14,Jimmy Garoppolo pass complete short middle to Christian McCaffrey for 14 yards (tackle by Bobby Wagner),1,2.13
3,5:50,1,10,SFO 48,10,14,Jeff Wilson left tackle for 1 yard (tackle by Aaron Donald and Bobby Wagner),2.13,1.65
3,5:12,2,9,SFO 48,10,14,Jimmy Garoppolo pass complete short right to Jeff Wilson for 12 yards (tackle by Nick Scott and Jalen Ramsey),1.65,2.98
3,4:31,1,10,LAR 39,10,14,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 11 yards (tackle by Derion Kendrick),2.98,3.71
3,4:14,1,10,LAR 28,10,14,Jeff Wilson left tackle for 12 yards (tackle by Jalen Ramsey),3.71,4.51
3,3:28,1,10,LAR 16,10,14,Jeff Wilson right tackle for -1 yards (tackle by A'Shawn Robinson and Greg Gaines),4.51,3.77
3,2:47,2,11,LAR 17,10,14,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 8 yards (tackle by Ernest Jones),3.77,4.39
3,1:58,3,3,LAR 9,16,14,"Jimmy Garoppolo pass complete short right to Christian McCaffrey for 9 yards, touchdown",4.39,7
3,1:51,,,LAR 15,17,14,Robbie Gould kicks extra point good,0,0
3,1:51,,,SFO 35,17,14,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
3,1:51,1,10,LAR 25,17,14,Ronnie Rivers right tackle for 3 yards (tackle by Charles Omenihu and Charvarius Ward),0.61,0.47
3,1:08,2,7,LAR 28,17,14,Matthew Stafford pass incomplete short right intended for Tyler Higbee,0.47,-0.23
3,1:05,3,7,LAR 28,17,14,Matthew Stafford sacked by and Fred Warner for -9 yards and Nick Bosa for -9 yards,-0.23,-2.14
3,0:27,4,16,LAR 19,17,14,"Riley Dixon punts 50 yards, returned by Ray-Ray McCloud for 11 yards (tackle by Nick Scott)",-2.14,-1.73
3,0:15,1,10,SFO 42,17,14,"Jimmy Garoppolo pass complete short right to Christian McCaffrey for 7 yards (tackle by Ernest Jones). Penalty on Ernest Jones: Unnecessary Roughness / Defense, 15 yards (accepted)",1.73,3.18
4,15:00,1,10,LAR 36,17,14,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 5 yards (tackle by Derion Kendrick),3.18,3.31
4,14:19,2,5,LAR 31,17,14,Jimmy Garoppolo pass complete short right to Christian McCaffrey for 4 yards (tackle by Leonard Floyd and A'Shawn Robinson),3.31,3.14
4,13:36,3,1,LAR 27,17,14,Jeff Wilson right guard for 2 yards (tackle by Leonard Floyd and Aaron Donald),3.14,3.91
4,12:51,1,10,LAR 25,17,14,Christian McCaffrey up the middle for 24 yards (tackle by Taylor Rapp),3.91,6.97
4,12:11,1,1,LAR 1,23,14,"Christian McCaffrey for 1 yard, touchdown",6.97,7
4,12:07,,,LAR 15,24,14,Robbie Gould kicks extra point good,0,0
4,12:07,,,SFO 35,24,14,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
4,12:07,1,10,LAR 25,24,14,Cooper Kupp right end for 5 yards (tackle by Charvarius Ward),0.61,0.74
