Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
4,8:07,3,1,SFO 21,14,28,Jimmy Garoppolo left guard for 2 yards (tackle by Ta'Quon Graham and Rashaan Evans),-0.37,0.48
4,7:27,1,10,SFO 23,14,28,"Jimmy Garoppolo pass complete deep right to Brandon Aiyuk for no gain. Penalty on Jake Brendel: Offensive Holding, 10 yards (accepted) (no play)",0.48,-0.59
4,6:58,1,20,SFO 13,14,28,Jimmy Garoppolo scrambles left tackle for 6 yards (tackle by Rashaan Evans),-0.59,-0.67
4,6:18,2,14,SFO 19,14,28,Jimmy Garoppolo pass complete short left to Deebo Samuel for 27 yards (tackle by Rashaan Evans),-0.67,1.99
4,5:47,1,10,SFO 46,14,28,Jimmy Garoppolo pass incomplete short right intended for Brandon Aiyuk (defended by Rashaan Evans),1.99,1.45
4,5:44,2,10,SFO 46,14,28,Tevin Coleman left guard for -2 yards (tackle by Quinton Bell),1.45,0.5
4,5:00,3,12,SFO 44,14,28,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 14 yards (tackle by Casey Hayward),0.5,2.79
4,4:37,1,10,ATL 42,14,28,"Penalty on Jake Brendel: False Start, 5 yards (accepted) (no play)",2.79,2.46
4,4:37,1,15,ATL 47,14,28,Jimmy Garoppolo pass complete short right to Deebo Samuel for 1 yard (tackle by Matt Dickerson),2.46,1.7
4,4:11,2,14,ATL 46,14,28,Jimmy Garoppolo pass complete short middle to George Kittle for 19 yards (tackle by Richie Grant and Jaylinn Hawkins),1.7,3.78
4,3:44,1,10,ATL 27,14,28,Jimmy Garoppolo pass complete short left to Jauan Jennings for 9 yards (tackle by Troy Andersen),3.78,4.53
4,3:24,2,1,ATL 18,14,28,Jimmy Garoppolo pass incomplete deep right intended for George Kittle,4.53,3.84
4,3:16,3,1,ATL 18,14,28,Tevin Coleman right end for -1 yards (tackle by Mike Ford and Richie Grant),3.84,2.31
4,2:36,4,2,ATL 19,14,28,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel,2.31,-0.15
4,2:34,1,10,ATL 19,14,28,Tyler Allgeier right end for 8 yards (tackle by Talanoa Hufanga),0.15,0.75
4,2:29,,,,,,Timeout #1 by San Francisco 49ers,,
4,2:29,2,2,ATL 27,14,28,Tyler Allgeier right tackle for 5 yards (tackle by Hassan Ridgeway and Fred Warner),0.75,1.07
4,2:19,,,,,,Timeout #2 by San Francisco 49ers,,
4,2:19,1,10,ATL 32,14,28,Tyler Allgeier left tackle for 1 yard (tackle by Samson Ebukam and Hassan Ridgeway),1.07,0.66
4,2:15,,,,,,Timeout #3 by San Francisco 49ers,,
4,2:15,2,9,ATL 33,14,28,Tyler Allgeier left end for 1 yard (tackle by Dre Greenlaw),0.66,0.1
4,2:00,3,8,ATL 34,14,28,Tyler Allgeier left tackle for 5 yards (tackle by Charles Omenihu and Tashaun Gipson),0.1,-0.78
4,1:12,,,,,,Timeout #2 by Atlanta Falcons,,
4,1:12,4,3,ATL 39,14,28,Bradley Pinion punts 42 yards out of bounds,-0.78,-0.15
4,1:04,1,10,SFO 19,14,28,Jimmy Garoppolo pass complete short right to George Kittle for 5 yards (tackle by Troy Andersen and Jaylinn Hawkins),0.15,0.34
4,0:48,2,5,SFO 24,14,28,Jimmy Garoppolo pass complete short left to George Kittle for 10 yards (tackle by Mike Ford and Rashaan Evans),0.34,1.2
4,0:29,1,10,SFO 34,14,28,Jimmy Garoppolo pass complete short right to Deebo Samuel for 21 yards (tackle by Jaylinn Hawkins),1.2,2.59
4,0:07,1,10,ATL 45,14,28,Jimmy Garoppolo pass complete short middle to George Kittle for 15 yards (tackle by Troy Andersen),2.59,1.6
