Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
3,4:52,,,SFO 35,7,21,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
3,4:52,1,10,WAS 25,7,21,Taylor Heinicke pass complete short right to Jahan Dotson for 18 yards (tackle by Deommodore Lenoir),0.61,1.8
3,4:19,1,10,WAS 43,7,21,Taylor Heinicke pass complete deep middle to Terry McLaurin for 51 yards (tackle by Samuel Womack),1.8,5.83
3,3:32,1,6,SFO 6,7,21,Brian Robinson up the middle for 3 yards (tackle by T.Y. McGill and Fred Warner),5.83,5.53
3,2:53,2,3,SFO 3,13,21,"Taylor Heinicke pass complete short middle to Terry McLaurin for 3 yards, touchdown. Penalty on Talanoa Hufanga: Illegal Contact, 5 yards (declined)",5.53,7
3,2:46,,,SFO 15,14,21,Joey Slye kicks extra point good,0,0
3,2:46,,,WAS 35,14,21,"Joey Slye kicks off 65 yards, touchback.. Penalty on Rachad Wildgoose: Unnecessary Roughness / Offense, 15 yards (accepted)",0,1.6
3,2:46,1,10,SFO 40,14,21,Brock Purdy pass complete short left to Brandon Aiyuk for 54 yards (tackle by Bobby McCain),1.6,5.83
3,1:58,1,6,WAS 6,14,21,Christian McCaffrey up the middle for 1 yard (tackle by Jonathan Allen),5.83,5.15
3,1:22,2,5,WAS 5,14,21,Brock Purdy sacked by James Smith-Williams for -4 yards,5.15,0
3,0:47,3,9,WAS 9,14,21,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",0,3
3,0:33,3,14,WAS 14,14,21,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Jeremy Reaves and Bobby McCain),3,2.95
4,15:00,4,8,WAS 8,14,24,Robbie Gould 26 yard field goal good,2.95,3
4,14:56,,,SFO 35,14,24,"Robbie Gould kicks off 64 yards, returned by Antonio Gibson for 18 yards (tackle by George Odum and Jordan Mason)",0,0.15
4,14:51,1,10,WAS 19,14,24,Curtis Samuel left end for 2 yards (tackle by Deommodore Lenoir),0.15,-0.06
4,14:12,2,8,WAS 21,14,24,"Taylor Heinicke sacked by Nick Bosa for -10 yards. Taylor Heinicke fumbles (forced by Nick Bosa), recovered by Jordan Willis at WAS-11 (tackle by Cornelius Lucas and Cole Turner)",-0.06,-4.84
4,14:04,1,10,WAS 11,14,24,Christian McCaffrey left end for no gain (tackle by Jeremy Reaves),4.84,4.14
4,13:28,2,10,WAS 11,14,24,Brock Purdy pass complete short middle to George Kittle for 5 yards (tackle by David Mayo),4.14,4.21
4,12:48,3,5,WAS 6,14,24,"Penalty on Mike McGlinchey: False Start, 5 yards (accepted) (no play)",4.21,3.13
4,12:48,3,10,WAS 11,14,24,Brock Purdy scrambles right tackle for 6 yards (tackle by Jamin Davis),3.13,3.01
4,12:05,4,4,WAS 5,14,27,Robbie Gould 23 yard field goal good,3.01,3
4,12:02,,,SFO 35,14,27,"Robbie Gould kicks off 63 yards, returned by Dax Milne for 17 yards (tackle by Oren Burks and Danny Gray)",0,0.15
4,11:57,1,10,WAS 19,14,27,Brian Robinson left guard for 3 yards (tackle by Talanoa Hufanga),0.15,0.07
4,11:23,2,7,WAS 22,14,27,"Taylor Heinicke pass short middle intended for Brian Robinson is intercepted by Jimmie Ward at WAS-25 and returned for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Taylor Heinicke pass short middle intended for Brian Robinson is intercepted by Jimmie Ward at WAS-25 and returned for no gain (tackle by Brian Robinson)",0.07,-3.91
4,11:19,1,10,WAS 25,14,27,Brock Purdy pass complete short left to Brandon Aiyuk for 4 yards (tackle by Darrick Forrest),3.91,3.9
4,10:42,2,6,WAS 21,14,27,Christian McCaffrey left end for -2 yards (tackle by Jamin Davis),3.9,2.94
4,9:58,3,8,WAS 23,14,27,Brock Purdy pass complete short left to Jauan Jennings for 6 yards (tackle by Benjamin St-Juste),2.94,2.44
4,9:20,4,2,WAS 17,14,30,Robbie Gould 35 yard field goal good,2.44,3
4,9:16,,,SFO 35,14,30,"Robbie Gould kicks off 66 yards, returned by Dax Milne for 19 yards (tackle by George Odum)",0,0.04
4,9:11,1,10,WAS 18,14,30,Carson Wentz pass incomplete deep right intended for Logan Thomas,0.04,-0.49
4,9:07,2,10,WAS 18,14,30,Jonathan Williams up the middle for 9 yards (tackle by Deommodore Lenoir and Fred Warner),-0.49,-0.02
4,8:44,3,1,WAS 27,14,30,Carson Wentz pass complete short left to Curtis Samuel for 4 yards (tackle by Charvarius Ward),-0.02,1
4,8:18,1,10,WAS 31,14,30,Carson Wentz pass complete short right to Jonathan Williams for 21 yards (tackle by Deommodore Lenoir),1,2.39
4,7:43,1,10,SFO 48,14,30,"Carson Wentz pass complete short right to Logan Thomas for 4 yards (tackle by Deommodore Lenoir) SFO challenged the pass completion ruling, and the play was upheld.",2.39,2.39
4,7:13,2,6,SFO 44,14,30,Carson Wentz pass complete short left to Antonio Gibson for 12 yards (tackle by Talanoa Hufanga),2.39,3.45
4,6:34,1,10,SFO 32,14,30,Carson Wentz pass complete short left to Jonathan Williams for 7 yards (tackle by Fred Warner),3.45,3.85
4,6:06,2,3,SFO 25,14,30,Carson Wentz pass complete short middle to Logan Thomas for 5 yards (tackle by Jimmie Ward),3.85,4.24
4,5:40,1,10,SFO 20,14,30,Carson Wentz pass incomplete short right intended for Jahan Dotson (defended by Deommodore Lenoir),4.24,3.69
4,5:36,2,10,SFO 20,14,30,Carson Wentz pass incomplete short middle intended for Logan Thomas (defended by Talanoa Hufanga),3.69,3.01
4,5:30,3,10,SFO 20,20,30,"Carson Wentz pass complete short left to Curtis Samuel for 20 yards, touchdown",3.01,7
4,5:25,,,SFO 2,20,30,"Two Point Attempt: Carson Wentz pass incomplete, sacked by Carson Wentz sacked by",1,-1
4,5:25,,,WAS 35,20,30,"Joey Slye kicks onside 3 yards,. Penalty on Khaleke Hudson: Illegal Touch Kick, 5 yards (accepted)",0,3.38
4,5:25,1,10,WAS 33,20,30,Tyrion Davis-Price up the middle for 2 yards (tackle by John Ridgeway),3.38,3.11
4,4:49,2,8,WAS 31,20,30,Tyrion Davis-Price right tackle for 7 yards (tackle by Jeremy Reaves and Darrick Forrest),3.11,3.34
4,4:42,,,,,,Timeout #1 by Washington Commanders,,
4,4:42,3,1,WAS 24,20,30,Tyrion Davis-Price up the middle for 6 yards (tackle by Jeremy Reaves and John Ridgeway),3.34,4.37
4,4:37,,,,,,Timeout #2 by Washington Commanders,,
4,4:37,1,10,WAS 18,20,30,Tyrion Davis-Price right end for 3 yards (tackle by David Mayo),4.37,4.25
4,4:29,,,,,,Timeout #3 by Washington Commanders,,
4,4:29,2,7,WAS 15,20,30,Brock Purdy sacked by Benjamin St-Juste for -4 yards,4.25,2.97
4,3:45,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:45,3,11,WAS 19,20,30,Christian McCaffrey up the middle for 8 yards (tackle by Darrick Forrest),2.97,2.8
4,3:02,,,,,,Timeout #3 by San Francisco 49ers,,
4,3:02,4,3,WAS 11,20,30,Brock Purdy pass complete short middle to George Kittle for 10 yards (tackle by Jeremy Reaves),2.8,6.97
4,2:16,1,1,WAS 1,20,36,"Christian McCaffrey for 1 yard, touchdown",6.97,7
4,2:13,,,WAS 15,20,37,Robbie Gould kicks extra point good,0,0
4,2:13,,,SFO 35,20,37,"Robbie Gould kicks off 65 yards, returned by Dax Milne for 18 yards (tackle by Oren Burks and Ambry Thomas)",0,0.04
4,2:06,1,10,WAS 18,20,37,Jonathan Williams right tackle for 2 yards (tackle by Nick Bosa),0.04,-0.13
4,2:00,2,8,WAS 20,20,37,Carson Wentz pass incomplete short left intended for Jonathan Williams,-0.13,-0.91
4,1:52,3,8,WAS 20,20,37,Carson Wentz pass complete short middle to Logan Thomas for 15 yards (tackle by Oren Burks and Demetrius Flannigan-Fowles),-0.91,1.27
4,1:35,1,10,WAS 35,20,37,Carson Wentz pass complete short right to Jahan Dotson for 9 yards (tackle by Samuel Womack),1.27,1.94
4,1:14,2,1,WAS 44,20,37,Carson Wentz pass complete short left to Terry McLaurin for 9 yards (tackle by George Odum and Oren Burks),1.94,2.46
4,0:51,1,10,SFO 47,20,37,Carson Wentz pass complete short right to Curtis Samuel for 11 yards (tackle by Ambry Thomas),2.46,3.18
4,0:20,1,10,SFO 36,20,37,Carson Wentz pass complete short right to Logan Thomas for 6 yards (tackle by Demetrius Flannigan-Fowles),3.18,3.45
