Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
3,12:08,1,10,LAR 18,6,14,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Talanoa Hufanga),0.04,0.14
3,11:29,2,6,LAR 22,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 12 yards (tackle by Talanoa Hufanga),0.14,1.2
3,10:40,1,10,LAR 34,6,14,Matthew Stafford pass complete short middle to Ben Skowronek for 16 yards (tackle by Tashaun Gipson),1.2,2.26
3,10:00,1,10,LAR 50,6,14,Darrell Henderson right guard for 3 yards (tackle by Tashaun Gipson),2.26,2.12
3,9:38,2,7,SFO 47,6,14,Matthew Stafford pass complete short middle to Tyler Higbee for 12 yards (tackle by Deommodore Lenoir and Fred Warner),2.12,3.25
3,8:55,1,10,SFO 35,6,14,Matthew Stafford pass incomplete short left intended for Tyler Higbee,3.25,2.7
3,8:51,2,10,SFO 35,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 7 yards (tackle by Dre Greenlaw),2.7,2.94
3,8:08,3,3,SFO 28,6,14,Matthew Stafford pass complete short left to Allen Robinson for 2 yards (tackle by Emmanuel Moseley),2.94,1.89
3,7:25,4,1,SFO 26,6,14,Cam Akers right guard for 4 yards (tackle by Charvarius Ward),1.89,4.11
3,6:48,1,10,SFO 22,6,14,Matthew Stafford sacked by Nick Bosa for -1 yards,4.11,3.43
3,6:15,2,11,SFO 23,6,14,"Matthew Stafford pass incomplete short right intended for Cam Akers. Penalty on Fred Warner: Illegal Contact, 5 yards (accepted) (no play)",3.43,4.37
3,6:09,1,10,SFO 18,6,14,Cam Akers left end for -3 yards (tackle by Dre Greenlaw),4.37,3.42
3,5:26,2,13,SFO 21,6,14,Matthew Stafford pass complete short right to Cooper Kupp for 14 yards (tackle by Charvarius Ward),3.42,5.6
3,4:41,1,7,SFO 7,6,14,Matthew Stafford pass incomplete short right intended for Tyler Higbee,5.6,4.76
3,4:37,2,7,SFO 7,6,14,Matthew Stafford pass incomplete short right intended for Allen Robinson (defended by Charvarius Ward),4.76,3.81
3,4:33,3,7,SFO 7,6,14,Matthew Stafford pass incomplete short left intended for Tyler Higbee,3.81,2.97
3,4:28,4,7,SFO 7,9,14,Matt Gay 26 yard field goal good,2.97,3
3,4:25,,,LAR 35,9,14,"Matt Gay kicks off 61 yards, returned by Ray-Ray McCloud for 21 yards. Ray-Ray McCloud fumbles (forced by Jordan Fuller), recovered by Marlon Mack at SF-27 (tackle by Jordan Fuller)",0,0.74
3,4:17,1,10,SFO 27,9,14,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 35 yards (tackle by Nick Scott),0.74,3.05
3,3:48,1,10,LAR 38,9,14,Jeff Wilson up the middle for 5 yards (tackle by Nick Scott and Jordan Fuller),3.05,3.18
3,3:08,2,5,LAR 33,9,14,Jeff Wilson right guard for 8 yards (tackle by Bobby Wagner),3.18,3.91
3,2:23,1,10,LAR 25,9,14,Jeff Wilson up the middle for 8 yards (tackle by Derion Kendrick),3.91,4.55
3,1:42,2,2,LAR 17,9,14,Kyle Juszczyk left tackle for 9 yards (tackle by Jalen Ramsey),4.55,5.37
3,0:56,1,8,LAR 8,9,14,Jimmy Garoppolo pass complete short right to Deebo Samuel for 7 yards (tackle by Bobby Wagner and Derion Kendrick),5.37,5.91
3,0:07,2,1,LAR 1,9,14,Jeff Wilson right tackle for no gain (tackle by Bobby Wagner and Leonard Floyd),5.91,5.17
4,15:00,3,1,LAR 1,9,14,"Jimmy Garoppolo pass complete short right to George Kittle for no gain Replay Assistant challenged the pass completion ruling, and the original play was overturned. Jimmy Garoppolo pass incomplete short right intended for George Kittle",5.17,3.55
4,14:55,4,1,LAR 1,9,14,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",3.55,2.99
4,14:56,4,6,LAR 6,9,17,Robbie Gould 25 yard field goal good,2.99,3
4,14:53,,,SFO 35,9,17,"Robbie Gould kicks off 60 yards, returned by Brandon Powell for 16 yards (tackle by Charlie Woerner and Malik Turner)",0,0.34
4,14:47,1,10,LAR 21,9,17,Cam Akers up the middle for -2 yards (tackle by Kevin Givens),0.34,-0.53
4,14:04,2,12,LAR 19,9,17,Matthew Stafford pass complete short right to Darrell Henderson for 2 yards (tackle by Fred Warner),-0.53,-0.89
4,13:39,3,10,LAR 21,9,17,Matthew Stafford pass incomplete short left intended for Cooper Kupp,-0.89,-1.96
4,13:32,4,10,LAR 21,9,17,"Riley Dixon punts 56 yards, returned by Ray-Ray McCloud for 22 yards (tackle by Riley Dixon and Jake Funk)",-1.96,-1.93
4,13:19,1,10,SFO 45,9,17,Jeff Wilson left tackle for 3 yards (tackle by Bobby Wagner),1.93,1.79
4,12:25,2,7,SFO 48,9,17,"Deebo Samuel up the middle for 4 yards (tackle by Bobby Wagner). Penalty on Jake Brendel: Offensive Holding, 10 yards (accepted) (no play)",1.79,0.44
4,12:09,2,17,SFO 38,9,17,Jimmy Garoppolo pass complete short right to George Kittle for 4 yards (tackle by Grant Haley and Aaron Donald),0.44,0.3
4,11:27,3,13,SFO 42,9,17,Jimmy Garoppolo pass complete short left to Deebo Samuel for 29 yards (tackle by Leonard Floyd),0.3,3.64
4,10:10,1,10,LAR 29,9,17,Jeff Wilson right tackle for -1 yards (tackle by Aaron Donald),3.64,2.97
4,9:28,2,11,LAR 30,9,17,Jimmy Garoppolo pass incomplete short right intended for George Kittle,2.97,2.28
4,9:24,3,11,LAR 30,9,17,Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 6 yards (tackle by Jalen Ramsey),2.28,1.92
