Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
4,7:21,,,SFO 15,10,19,Cairo Santos kicks extra point no good,0,-1
4,7:21,,,CHI 35,10,19,"Cairo Santos kicks off 66 yards, returned by Ray-Ray McCloud for 21 yards (tackle by Khalil Herbert). Penalty on Jordan Mason: Defensive Holding, 10 yards (accepted)",0,-0.38
4,7:15,1,10,SFO 10,10,19,Trey Lance pass incomplete short middle intended for Deebo Samuel,-0.38,-0.78
4,7:09,2,10,SFO 10,10,19,Trey Lance pass complete short middle to Brandon Aiyuk for 9 yards (tackle by Kindle Vildor),-0.78,-0.37
4,6:34,3,1,SFO 19,10,19,Trey Lance right guard for 3 yards (tackle by Nicholas Morrow),-0.37,0.41
4,6:05,1,10,SFO 22,10,19,Trey Lance pass incomplete deep middle intended for Deebo Samuel (defended by Roquan Smith),0.41,-0.13
4,5:57,2,10,SFO 22,10,19,Trey Lance pass complete short left to Deebo Samuel for 8 yards (tackle by Eddie Jackson and Justin Jones),-0.13,0.23
4,5:24,3,2,SFO 30,10,19,Trey Lance left guard for 3 yards (tackle by Trevis Gipson),0.23,1.14
4,4:56,1,10,SFO 33,10,19,"Penalty on Trent Williams: False Start, 5 yards (accepted) (no play)",1.14,0.81
4,4:56,1,15,SFO 28,10,19,Trey Lance pass complete short right to Jauan Jennings for 13 yards (tackle by Kindle Vildor),0.81,1.67
4,4:34,2,2,SFO 41,10,19,Trey Lance scrambles for 3 yards (tackle by Nicholas Morrow),1.67,1.86
4,4:17,1,10,SFO 44,10,19,Trey Lance pass incomplete short right intended for Ross Dwelley,1.86,1.32
4,4:12,2,10,SFO 44,10,19,Trey Lance pass complete short right to Jeff Wilson for 2 yards (tackle by Dominique Robinson),1.32,0.89
4,3:49,3,8,SFO 46,10,19,Trey Lance pass incomplete short middle intended for Ray-Ray McCloud,0.89,-0.32
4,3:43,4,8,SFO 46,10,19,Trey Lance pass incomplete short right intended for Kyle Juszczyk,-0.32,-2.59
4,3:38,1,10,SFO 45,10,19,David Montgomery left guard for 1 yard (tackle by Charvarius Ward and Azeez Al-Shaair),2.59,2.25
4,3:32,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:32,2,8,SFO 44,10,19,David Montgomery right guard for -2 yards (tackle by Arik Armstead),2.25,1.29
4,3:05,,,,,,Timeout #3 by San Francisco 49ers,,
4,3:05,3,10,SFO 46,10,19,David Montgomery left end for 1 yard (tackle by Azeez Al-Shaair),1.29,0.27
4,2:37,4,9,SFO 45,10,19,"Penalty on CHI: Delay of Game, 5 yards (declined) (no play)",0.27,0.27
4,2:37,4,9,SFO 45,10,19,"Trenton Gill punts 45 yards, touchback.",0.27,-0.28
4,2:29,1,10,SFO 20,10,19,Trey Lance pass incomplete short left intended for Kyle Juszczyk,0.28,-0.27
4,2:24,2,10,SFO 20,10,19,"Trey Lance aborted snap, recovered by Trey Lance at SF-20 and returned for -5 yards Trey Lance for no gain (tackle by Dominique Robinson)",-0.27,-0.96
4,2:00,3,10,SFO 20,10,19,Trey Lance left guard for 1 yard (tackle by Dominique Robinson and Robert Quinn),-0.96,-1.96
4,1:36,4,9,SFO 21,10,19,Trey Lance pass incomplete deep middle intended for Brandon Aiyuk,-1.96,-4.24
4,1:29,1,10,SFO 20,10,19,Justin Fields kneels for no gain,4.24,3.76
4,0:42,2,9,SFO 20,10,19,Justin Fields kneels for -1 yards,3.76,2.94
4,0:33,3,10,SFO 21,10,19,Justin Fields kneels for -1 yards,2.94,1.99
