Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA
3,4:06,3,7,SFO 33,17,23,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",2.35,1.69
3,4:06,3,12,SFO 38,17,23,Geno Smith pass complete short left to D.K. Metcalf for 13 yards (tackle by Talanoa Hufanga),1.69,3.91
3,3:33,1,10,SFO 25,17,23,Geno Smith pass complete to Tyler Lockett for 10 yards (tackle by Charvarius Ward),3.91,4.58
3,3:09,1,10,SFO 15,17,23,DeeJay Dallas up the middle for 1 yard (tackle by Fred Warner),4.58,4.11
3,2:32,2,9,SFO 14,17,23,"Geno Smith pass complete to Tyler Lockett for 7 yards. Penalty on Damien Lewis: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.11,3.45
3,2:36,2,14,SFO 19,17,23,Geno Smith pass incomplete deep left intended for D.K. Metcalf,3.45,2.79
3,2:31,3,14,SFO 19,17,23,"Geno Smith sacked by Charles Omenihu for -11 yards. Geno Smith fumbles (forced by Charles Omenihu), recovered by Nick Bosa at SF-30",2.79,-0.94
3,2:25,1,10,SFO 30,17,23,Brock Purdy pass complete short middle to Deebo Samuel for 11 yards (tackle by Quandre Diggs),0.94,1.66
3,1:43,1,10,SFO 41,17,23,Christian McCaffrey left end for 8 yards (tackle by Bruce Irvin and Michael Jackson),1.66,2.27
3,0:59,2,1,SFO 49,17,23,Christian McCaffrey up the middle for 12 yards (tackle by Ryan Neal and Quandre Diggs),2.27,2.98
3,0:17,1,10,SEA 39,17,23,Christian McCaffrey left end for -1 yards (tackle by Bruce Irvin and Tanner Muse),2.98,2.3
4,15:00,2,11,SEA 40,17,23,Brock Purdy pass complete deep left to Jauan Jennings for 33 yards (tackle by Quandre Diggs),2.3,5.6
4,14:15,1,7,SEA 7,17,23,Brock Purdy pass incomplete short middle intended for Elijah Mitchell,5.6,4.76
4,14:10,2,7,SEA 7,17,29,"Brock Purdy pass complete short right to Elijah Mitchell for 7 yards, touchdown",4.76,7
4,14:02,,,SEA 2,17,31,Two Point Attempt: Brock Purdy pass complete to to George Kittle for no gain,1,1
4,14:02,,,SFO 35,17,31,"Robbie Gould kicks off 66 yards, returned by Godwin Igwebuike for 20 yards (tackle by Oren Burks)",0,0.15
4,13:58,1,10,SEA 19,17,31,Geno Smith pass complete short left to D.K. Metcalf for 15 yards (tackle by Charvarius Ward),0.15,1.2
4,13:23,1,10,SEA 34,17,31,Kenneth Walker for no gain (no play),1.2,0.54
4,13:01,1,20,SEA 24,17,31,"Penalty on Charles Cross: False Start, 5 yards (accepted) (no play)",0.54,0.09
4,13:01,1,25,SEA 19,17,31,Geno Smith pass incomplete deep left intended for D.K. Metcalf,0.09,-1.43
4,12:49,2,25,SEA 19,17,31,"Geno Smith pass complete to D.K. Metcalf for 3 yards (tackle by Charvarius Ward). Penalty on Damien Lewis: Ineligible Downfield Pass, 5 yards (declined)",-1.43,-1.62
4,12:40,3,22,SEA 22,17,31,Geno Smith pass complete short left to Cade Johnson for 10 yards (tackle by Dre Greenlaw),-1.62,-1.24
4,11:58,4,12,SEA 32,17,31,"Michael Dickson punts 60 yards, returned by Ray-Ray McCloud for 16 yards (tackle by Jon Rhattigan and Nick Bellore)",-1.24,-0.54
4,11:45,1,10,SFO 24,17,31,Brock Purdy pass complete short left to Deebo Samuel for 2 yards (tackle by Boye Mafe and Ryan Neal),0.54,0.27
4,11:04,2,8,SFO 26,17,37,"Brock Purdy pass complete short left to Deebo Samuel for 74 yards, touchdown",0.27,7
4,10:51,,,SEA 15,17,38,Robbie Gould kicks extra point good,0,0
4,10:51,,,SFO 35,17,38,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
4,10:51,1,10,SEA 25,17,38,Geno Smith pass deep right intended for Tyler Lockett is intercepted by Deommodore Lenoir at SEA-43 and returned for 6 yards (tackle by Tyler Lockett),0.61,-3.12
4,10:45,1,10,SEA 37,17,38,Elijah Mitchell right tackle for no gain (tackle by Al Woods),3.12,2.57
4,10:01,2,10,SEA 37,17,38,Deebo Samuel right tackle for 3 yards (tackle by Cody Barton),2.57,2.28
4,9:21,3,7,SEA 34,17,38,Brock Purdy pass complete short left to Jauan Jennings for 8 yards (tackle by Ryan Neal),2.28,3.84
4,8:44,1,10,SEA 26,17,38,Elijah Mitchell up the middle for -1 yards (tackle by Quinton Jefferson and Bruce Irvin),3.84,3.16
4,7:59,2,11,SEA 27,17,38,Elijah Mitchell left guard for 4 yards (tackle by Ryan Neal),3.16,3.01
4,7:15,3,7,SEA 23,17,38,Christian McCaffrey up the middle for 10 yards (tackle by Quandre Diggs),3.01,4.71
4,6:35,1,10,SEA 13,17,38,Elijah Mitchell right guard for 1 yard (tackle by Alexander Johnson),4.71,4.22
4,5:53,2,9,SEA 12,17,38,Elijah Mitchell left end for -1 yards (tackle by Cody Barton),4.22,3.12
4,5:13,3,10,SEA 13,17,38,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,3.12,2.57
4,4:59,4,10,SEA 13,17,41,Robbie Gould 31 yard field goal good,2.57,3
