Quarter,Time,Down,ToGo,Location,MIA,SFO,Detail,EPB,EPA
3,12:50,2,10,SFO 45,10,17,Christian McCaffrey left guard for 4 yards (tackle by Bradley Chubb),1.38,1.22
3,12:01,3,6,SFO 49,10,17,Brock Purdy sacked by Melvin Ingram for -11 yards,1.22,-0.85
3,11:22,4,17,SFO 38,10,17,"Mitch Wishnowsky punts 46 yards, returned by Cedrick Wilson for 7 yards (tackle by George Odum and Demetrius Flannigan-Fowles). Penalty on Tarvarius Moore: Unsportsmanlike Conduct / Defense, 15 yards (accepted)",-0.85,-1.47
3,11:12,1,10,MIA 38,10,17,"Tua Tagovailoa pass complete deep left to Tyreek Hill for 19 yards. Penalty on Nick Bosa: Roughing the Passer, 15 yards (accepted)",1.47,3.71
3,10:56,1,10,SFO 28,10,17,"Penalty on Robert Jones: False Start, 5 yards (accepted) (no play)",3.71,3.38
3,10:36,1,15,SFO 33,10,17,"Raheem Mostert for no gain. Penalty on Robert Hunt: Offensive Holding, 10 yards (accepted) (no play)",3.38,2.72
3,10:14,1,25,SFO 43,10,17,Tua Tagovailoa pass short right intended for Jeff Wilson is intercepted by Jimmie Ward at SF-36 and returned for no gain (tackle by Jeff Wilson),2.72,-1.33
3,10:01,1,10,SFO 36,10,17,Brock Purdy pass complete short middle to Deebo Samuel for 11 yards (tackle by Xavien Howard and Jevon Holland),1.33,2.06
3,9:20,1,10,SFO 47,10,17,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Kader Kohou),2.06,2.73
3,8:40,2,1,MIA 44,10,17,Kyle Juszczyk up the middle for no gain (tackle by Zach Sieler),2.73,2.02
3,7:59,3,1,MIA 44,10,17,Brock Purdy pass complete short right to Deebo Samuel for 10 yards,2.02,3.31
3,7:11,,,,,,Timeout #1 by San Francisco 49ers,,
3,7:11,1,10,MIA 34,10,17,Jordan Mason right tackle for 6 yards (tackle by Jaelan Phillips),3.31,3.58
3,6:27,2,4,MIA 28,10,17,Jordan Mason up the middle for 1 yard (tackle by John Jenkins and Christian Wilkins),3.58,3.01
3,5:50,3,3,MIA 27,10,17,Brock Purdy pass complete short left to Christian McCaffrey for 2 yards (tackle by Jevon Holland),3.01,1.95
3,5:09,4,1,MIA 25,10,17,Brock Purdy right guard for 2 yards (tackle by Zach Sieler),1.95,4.04
3,4:28,1,10,MIA 23,10,17,Deebo Samuel left end for -4 yards (tackle by Elandon Roberts),4.04,2.96
3,3:44,2,14,MIA 27,10,17,Brock Purdy pass incomplete short middle intended for Deebo Samuel,2.96,2.28
3,3:37,3,14,MIA 27,10,17,Brock Purdy pass complete short left to Brandon Aiyuk for 2 yards (tackle by Elijah Campbell and Keion Crossen),2.28,1.8
3,2:57,4,12,MIA 25,10,20,Robbie Gould 43 yard field goal good,1.8,3
3,2:52,,,SFO 35,10,20,"Penalty on Bradley Chubb: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",0,-2.26
3,2:52,1,10,SFO 50,10,20,"Robbie Gould kicks off 50 yards, touchback.",2.26,0.61
3,2:52,1,10,MIA 25,10,20,Tua Tagovailoa pass short left intended for Tyreek Hill is intercepted by Deommodore Lenoir at MIA-33 and returned for 8 yards (tackle by Tyreek Hill),0.61,-3.91
3,2:45,1,10,MIA 25,10,20,Jordan Mason left end for 5 yards (tackle by Christian Wilkins and Elandon Roberts),3.91,4.04
3,2:01,2,5,MIA 20,10,20,Brock Purdy pass incomplete short middle intended for Christian McCaffrey (defended by Eric Rowe),4.04,3.34
3,1:56,,,,,,Timeout #2 by San Francisco 49ers,,
3,1:56,3,5,MIA 20,10,20,Brock Purdy pass complete short right to Christian McCaffrey for 2 yards (tackle by Jerome Baker),3.34,2.35
3,1:18,4,3,MIA 18,10,23,Robbie Gould 36 yard field goal good,2.35,3
