Quarter,Time,Down,ToGo,Location,SFO,DEN,Detail,EPB,EPA
4,7:14,2,6,SFO 36,10,5,"Russell Wilson pass complete short right to Melvin Gordon for no gain. Melvin Gordon fumbles (forced by Samuel Womack), recovered by Melvin Gordon at SF-36 (tackle by Samuel Womack)",2.91,2.21
4,6:26,3,6,SFO 36,10,5,Russell Wilson scrambles up the middle for 12 yards (tackle by Samuel Womack),2.21,3.97
4,5:43,1,10,SFO 24,10,5,Russell Wilson pass complete deep right to Courtland Sutton for 19 yards (tackle by Tashaun Gipson and Charvarius Ward),3.97,6.06
4,4:58,1,5,SFO 5,10,5,Melvin Gordon left tackle for 4 yards (tackle by Emmanuel Moseley and Tarvarius Moore),6.06,5.91
4,4:13,2,1,SFO 1,10,11,"Melvin Gordon left tackle for 1 yard, touchdown",5.91,7
4,4:10,,,SFO 2,10,11,Two Point Attempt: Russell Wilson pass incomplete intended for Javonte Williams,1,-1
4,4:10,,,DEN 35,10,11,"Brandon McManus kicks off 65 yards, touchback.",0,0.61
4,4:10,1,10,SFO 25,10,11,Jimmy Garoppolo pass complete short middle to Jeff Wilson for 7 yards (tackle by Josey Jewell),0.61,1.01
4,3:32,2,3,SFO 32,10,11,Jimmy Garoppolo pass incomplete short left intended for Deebo Samuel,1.01,0.3
4,3:31,3,3,SFO 32,10,11,Jimmy Garoppolo pass complete short left to Jauan Jennings for 5 yards (tackle by Ronald Darby),0.3,1.4
4,2:53,1,10,SFO 37,10,11,Jimmy Garoppolo pass complete short middle to Ray-Ray McCloud for 11 yards (tackle by K'Waun Williams),1.4,2.13
4,2:18,1,10,SFO 48,10,11,Jimmy Garoppolo pass (defended by Kareem Jackson) intended for Deebo Samuel is intercepted by Jonas Griffith at DEN-41 and returned for 1 yard (tackle by Deebo Samuel),2.13,-1.73
4,2:06,1,10,DEN 42,10,11,Javonte Williams up the middle for 1 yard (tackle by Charvarius Ward and Hassan Ridgeway),1.73,1.32
4,2:00,2,9,DEN 43,10,11,Javonte Williams left end for no gain (tackle by Dre Greenlaw),1.32,0.63
4,1:55,,,,,,Timeout #1 by San Francisco 49ers,,
4,1:55,3,9,DEN 43,10,11,Melvin Gordon left guard for 4 yards (tackle by Talanoa Hufanga),0.63,-0.26
4,1:51,,,,,,Timeout #2 by San Francisco 49ers,,
4,1:51,4,5,DEN 47,10,11,"Corliss Waitman punts 43 yards, recovered by Ray-Ray McCloud at SF-15",-0.26,0.22
4,1:42,1,10,SFO 15,10,11,Jimmy Garoppolo sacked by Bradley Chubb for -12 yards,-0.22,-1.66
4,1:15,2,22,SFO 3,10,11,"Jimmy Garoppolo pass complete short middle to Jeff Wilson for 16 yards. Jeff Wilson fumbles (forced by P.J. Locke), recovered by Kareem Jackson at SF-24 (tackle by Jeff Wilson)",-1.66,-3.97
4,1:05,1,10,SFO 24,10,11,Russell Wilson kneels for -1 yards,3.97,3.3
4,1:03,,,,,,Timeout #3 by San Francisco 49ers,,
4,1:03,2,11,SFO 25,10,11,Russell Wilson kneels for -1 yards,3.3,2.48
4,0:19,3,12,SFO 26,10,11,Russell Wilson kneels for -1 yards,2.48,1.67
