Quarter,Time,Down,ToGo,Location,SFO,ARI,Detail,EPB,EPA
3,1:17,1,10,ARI 13,24,10,Deebo Samuel up the middle for no gain (tackle by Ben Niemann and Isaiah Simmons),4.71,4.05
3,0:33,2,10,ARI 13,30,10,"Jimmy Garoppolo pass complete short left to Brandon Aiyuk for 13 yards, touchdown",4.05,7
3,0:28,,,ARI 15,31,10,Robbie Gould kicks extra point good,0,0
3,0:28,,,SFO 40,31,10,"Robbie Gould kicks off 60 yards, touchback.",0,0.61
3,0:28,1,10,ARI 25,31,10,Colt McCoy pass complete short left to DeAndre Hopkins for 4 yards (tackle by Charvarius Ward),0.61,0.6
3,0:02,2,6,ARI 29,31,10,"Penalty on Josh Jones: False Start, 5 yards (accepted) (no play)",0.6,-0.07
4,15:00,2,11,ARI 24,31,10,"Colt McCoy pass complete short right to James Conner for 5 yards (tackle by Dre Greenlaw and Jimmie Ward). Penalty on Nick Bosa: Roughing the Passer, 15 yards (accepted)",-0.07,1.86
4,14:39,1,10,ARI 44,31,10,James Conner up the middle for 2 yards (tackle by Kerry Hyder),1.86,1.59
4,14:06,2,8,ARI 46,31,10,"Colt McCoy sacked by Fred Warner for -9 yards. Penalty on Josh Jones: Offensive Holding, 10 yards (declined)",1.59,-0.3
4,13:46,3,17,ARI 37,31,10,Colt McCoy pass complete short right to Greg Dortch for 13 yards (tackle by Dre Greenlaw),-0.3,-0.06
4,13:14,4,4,ARI 50,31,10,Colt McCoy pass incomplete short right intended for A.J. Green (defended by Dre Greenlaw),-0.06,-2.26
4,13:10,1,10,ARI 50,31,10,Elijah Mitchell right end for 2 yards (tackle by Budda Baker),2.26,1.98
4,12:30,2,8,ARI 48,31,10,Elijah Mitchell up the middle for 6 yards (tackle by Tanner Vallejo and Leki Fotu),1.98,2.08
4,11:47,3,2,ARI 42,31,10,Jimmy Garoppolo pass complete short middle to Deebo Samuel for 7 yards (tackle by Ben Niemann and Isaiah Simmons),2.08,3.25
4,10:59,1,10,ARI 35,31,10,Christian McCaffrey up the middle for 3 yards (tackle by Michael Dogbe),3.25,3.11
4,10:17,2,7,ARI 32,37,10,"Jimmy Garoppolo pass complete short left to George Kittle for 32 yards, touchdown",3.11,7
4,10:08,,,ARI 15,38,10,Robbie Gould kicks extra point good,0,0
4,10:08,,,SFO 35,38,10,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
4,10:08,1,10,ARI 25,38,10,Trace McSorley up the middle for 6 yards (tackle by Tashaun Gipson),0.61,0.87
4,9:41,2,4,ARI 31,38,10,Trace McSorley pass complete deep right to A.J. Green for 18 yards (tackle by Talanoa Hufanga),0.87,2.19
4,9:16,1,10,ARI 49,38,10,Trace McSorley pass complete short right to Trey McBride for 2 yards (tackle by Dre Greenlaw),2.19,1.92
4,8:48,2,8,SFO 49,38,10,Keaontay Ingram up the middle for 2 yards (tackle by T.Y. McGill),1.92,1.49
4,8:12,3,6,SFO 47,38,10,Trace McSorley pass incomplete short right,1.49,0.13
4,8:04,4,6,SFO 47,38,10,"Andy Lee punts 36 yards, fair catch by Ray-Ray McCloud at SF-11",0.13,0.37
4,7:57,1,10,SFO 11,38,10,Jordan Mason up the middle for 4 yards (tackle by Michael Dogbe),-0.37,-0.43
4,7:18,2,6,SFO 15,38,10,Brock Purdy up the middle for 5 yards (tackle by Antonio Hamilton),-0.43,-0.37
4,6:41,3,1,SFO 20,38,10,Jordan Mason up the middle for no gain (tackle by Budda Baker),-0.37,-2.03
4,5:48,4,1,SFO 20,38,10,"Mitch Wishnowsky punts 51 yards, returned by Greg Dortch for 15 yards (tackle by Mitch Wishnowsky). Penalty on Corey Clement: Illegal Block Above the Waist, 10 yards (accepted)",-2.03,-1.2
4,5:32,1,10,ARI 34,38,10,Keaontay Ingram up the middle for 13 yards (tackle by Talanoa Hufanga and Azeez Al-Shaair),1.2,2.06
4,5:09,1,10,ARI 47,38,10,Keaontay Ingram up the middle for 1 yard (tackle by Azeez Al-Shaair),2.06,1.65
4,4:42,2,9,ARI 48,38,10,Trace McSorley pass complete short right to Greg Dortch for 5 yards (tackle by Samuel Womack),1.65,1.62
4,4:06,3,4,SFO 47,38,10,Trace McSorley pass complete short right to A.J. Green for 6 yards (tackle by Samuel Womack),1.62,2.85
4,3:40,1,10,SFO 41,38,10,Trace McSorley pass complete deep right to A.J. Green for 16 yards,2.85,3.91
4,3:29,1,10,SFO 25,38,10,Trace McSorley pass incomplete short right intended for A.J. Green (defended by Samuel Womack),3.91,3.36
4,3:25,2,10,SFO 25,38,10,Trace McSorley pass complete short middle to Greg Dortch for 12 yards (tackle by Deommodore Lenoir and Oren Burks),3.36,4.71
4,2:54,1,10,SFO 13,38,10,Keaontay Ingram left tackle for -1 yards (tackle by Deommodore Lenoir and Samuel Womack),4.71,3.9
4,2:19,2,11,SFO 14,38,10,Trace McSorley pass incomplete short right intended for A.J. Green,3.9,3.08
4,2:14,3,11,SFO 14,38,10,Trace McSorley pass short right intended for A.J. Green is intercepted by Samuel Womack in end zone and returned for no gain,3.08,-0.28
4,2:07,1,10,SFO 20,38,10,Jordan Mason up the middle for 8 yards (tackle by Budda Baker and Chris Banjo),0.28,0.81
4,2:00,2,2,SFO 28,38,10,Jordan Mason left tackle for 2 yards (tackle by Leki Fotu),0.81,0.94
4,1:19,1,10,SFO 30,38,10,Brock Purdy kneels for -1 yards,0.94,0.26
4,0:41,2,11,SFO 29,38,10,Brock Purdy kneels for -1 yards,0.26,-0.56
