Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
3,11:41,,,SFO 35,21,6,"Jake Moody kicks off 66 yards, returned by Boston Scott for 28 yards (tackle by Oren Burks and Charlie Woerner). Penalty on Demetrius Flannigan-Fowles: Face Mask (15 Yards), 15 yards (accepted)",0,1.73
3,11:33,1,10,PHI 42,21,6,D'Andre Swift right guard for 3 yards (tackle by Nick Bosa),1.73,1.59
3,10:57,2,7,PHI 45,21,6,Jalen Hurts pass incomplete short left,1.59,0.89
3,10:49,3,7,PHI 45,21,6,Jalen Hurts pass complete short left to A.J. Brown for 13 yards (tackle by Ambry Thomas),0.89,2.79
3,10:12,1,10,SFO 42,21,6,"Jalen Hurts pass complete short left to Jack Stoll for no gain (tackle by Deommodore Lenoir). Penalty on DeVonta Smith: Offensive Pass Interference, 10 yards (accepted) (no play)",2.79,2.13
3,9:53,1,20,PHI 48,21,6,Jalen Hurts pass complete short left to DeVonta Smith for 15 yards,2.13,2.92
3,9:27,2,5,SFO 37,21,6,"Jalen Hurts pass complete short left to DeVonta Smith for 13 yards (tackle by Dre Greenlaw and Ji'Ayir Brown). Penalty on Dre Greenlaw: Disqualification / Defense, 12 yards (accepted)",2.92,4.78
3,9:00,1,10,SFO 12,21,6,Jalen Hurts left tackle for -2 yards (tackle by Nick Bosa),4.78,3.79
3,8:06,2,12,SFO 14,21,6,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Charvarius Ward),3.79,3.06
3,8:01,3,12,SFO 14,21,6,Jalen Hurts pass complete short left to A.J. Brown for 12 yards (tackle by Ji'Ayir Brown),3.06,6.74
3,7:25,1,2,SFO 2,21,6,Jalen Hurts up the middle for 1 yard (tackle by Fred Warner and Arik Armstead),6.74,5.91
3,6:53,2,1,SFO 1,21,12,"Jalen Hurts up the middle for 1 yard, touchdown",5.91,7
3,6:51,,,SFO 15,21,13,Jake Elliott kicks extra point good,0,0
3,6:51,,,PHI 35,21,13,"Jake Elliott kicks off 70 yards, returned by Deebo Samuel for 28 yards (tackle by Kenneth Gainwell)",0,0.48
3,6:46,1,10,SFO 23,21,13,Brock Purdy sacked by Fletcher Cox for -2 yards,0.48,-0.34
3,6:04,2,12,SFO 21,21,13,Christian McCaffrey left guard for 5 yards (tackle by Brandon Graham and Reed Blankenship),-0.34,-0.36
3,5:26,3,7,SFO 26,21,13,Brock Purdy pass complete short right to Brandon Aiyuk for 10 yards (tackle by Darius Slay),-0.36,1.33
3,4:45,1,10,SFO 36,21,13,Christian McCaffrey left end for 16 yards (tackle by Reed Blankenship and Christian Elliss),1.33,2.39
3,4:04,1,10,PHI 48,27,13,"Brock Purdy pass complete short middle to Deebo Samuel for 48 yards, touchdown",2.39,7
3,3:54,,,PHI 15,28,13,Jake Moody kicks extra point good,0,0
3,3:54,,,SFO 35,28,13,"Penalty on Jalen Carter: Personal Foul / Defense, 15 yards (accepted) (no play)",0,0
3,3:54,,,SFO 50,28,13,"Jake Moody kicks off 50 yards, touchback.",0,0.61
3,3:54,1,10,PHI 25,28,13,D'Andre Swift right guard for 2 yards (tackle by Javon Kinlaw and Nick Bosa),0.61,0.33
3,3:16,2,8,PHI 27,28,13,Jalen Hurts pass incomplete short left intended for D'Andre Swift,0.33,-0.36
3,3:11,3,8,PHI 27,28,13,Jalen Hurts scrambles up the middle for 5 yards (tackle by Fred Warner and Oren Burks),-0.36,-1.24
3,2:30,4,3,PHI 32,28,13,Braden Mann punts 49 yards. Ronnie Bell fumbles out of bounds,-1.24,-0.61
3,2:24,1,10,SFO 25,28,13,Christian McCaffrey left end for 7 yards (tackle by Nicholas Morrow),0.61,1.01
3,1:46,2,3,SFO 32,28,13,Christian McCaffrey left guard for 5 yards (tackle by Jordan Davis),1.01,1.4
3,1:18,1,10,SFO 37,28,13,Brock Purdy pass complete short left to Christian McCaffrey for 3 yards (tackle by Nicholas Morrow),1.4,1.26
3,0:34,2,7,SFO 40,28,13,Christian McCaffrey right guard for 15 yards (tackle by Christian Elliss),1.26,2.59
