Quarter,Time,Down,ToGo,Location,SFO,LAR,Detail,EPB,EPA
3,0:20,1,10,SFO 26,20,17,Christian McCaffrey right guard for 3 yards (tackle by Larrell Murchison and Christian Rozeboom),0.67,0.54
4,15:00,2,7,SFO 29,20,17,Brock Purdy pass complete deep middle to Deebo Samuel for 16 yards (tackle by Cobie Durant and Christian Rozeboom),0.54,1.93
4,14:19,1,10,SFO 45,20,17,Brock Purdy pass complete deep left to Jauan Jennings for 31 yards (tackle by Cobie Durant),1.93,3.97
4,13:36,1,10,LAR 24,20,17,Christian McCaffrey left tackle for 2 yards (tackle by Ernest Jones),3.97,3.7
4,12:53,2,8,LAR 22,20,17,Deebo Samuel right end for 7 yards (tackle by Michael Hoecht),3.7,4.17
4,12:13,3,1,LAR 15,20,17,Brock Purdy up the middle for 4 yards (tackle by Ernest Jones),4.17,4.84
4,11:37,1,10,LAR 11,26,17,"Deebo Samuel left end for 11 yards, touchdown",4.84,7
4,11:28,,,LAR 15,27,17,Jake Moody kicks extra point good,0,0
4,11:28,,,SFO 35,27,17,"Jake Moody kicks off 65 yards, touchback.",0,0.61
4,11:28,1,10,LAR 25,27,17,Matthew Stafford pass complete short right to Puka Nacua for 12 yards (tackle by Talanoa Hufanga and Tashaun Gipson),0.61,1.4
4,11:03,1,10,LAR 37,27,17,Matthew Stafford pass complete short right to Puka Nacua for 8 yards (tackle by Dre Greenlaw),1.4,1.94
4,10:29,2,2,LAR 45,27,17,Matthew Stafford pass incomplete short right intended for Tyler Higbee,1.94,1.22
4,10:23,3,2,LAR 45,27,17,Matthew Stafford pass incomplete short middle intended for Puka Nacua,1.22,-0.39
4,10:18,4,2,LAR 45,27,17,Matthew Stafford pass complete short left to Puka Nacua for 9 yards (tackle by Deommodore Lenoir and Tashaun Gipson),-0.39,2.52
4,9:54,1,10,SFO 46,27,17,Matthew Stafford pass incomplete short left intended for Tutu Atwell,2.52,1.98
4,9:50,2,10,SFO 46,27,17,Matthew Stafford pass complete short left to Ben Skowronek for 10 yards (tackle by Charvarius Ward),1.98,3.18
4,9:10,1,10,SFO 36,27,17,Matthew Stafford pass complete short left to Kyren Williams for 6 yards (tackle by Deommodore Lenoir and Javon Kinlaw),3.18,3.45
4,8:36,2,4,SFO 30,27,17,Matthew Stafford pass complete short right to Tyler Higbee for 3 yards (tackle by Charvarius Ward),3.45,3.14
4,7:57,3,1,SFO 27,27,17,Kyren Williams up the middle for 8 yards (tackle by Talanoa Hufanga),3.14,4.31
4,7:33,1,10,SFO 19,27,17,"Matthew Stafford pass incomplete deep left. Penalty on Matthew Stafford: Intentional Grounding, 11 yards (accepted)",4.31,2.28
4,7:28,2,21,SFO 30,27,17,Matthew Stafford pass incomplete short left intended for Kyren Williams,2.28,1.62
4,7:25,3,21,SFO 30,27,17,Matthew Stafford pass incomplete short middle intended for Van Jefferson (defended by Fred Warner),1.62,1.41
4,7:18,4,21,SFO 30,27,20,Brett Maher 48 yard field goal good,1.41,3
4,7:13,,,LAR 35,27,20,"Ethan Evans kicks off 65 yards, touchback.",0,0.61
4,7:13,1,10,SFO 25,27,20,Brock Purdy pass complete short right to Deebo Samuel for 7 yards. Deebo Samuel fumbles (forced by Jordan Fuller). Deebo Samuel fumbles out of bounds,0.61,1.01
4,6:27,,,,,,Timeout #1 by San Francisco 49ers,,
4,6:27,2,3,SFO 32,27,20,Deebo Samuel left end for 1 yard (tackle by Michael Hoecht and Jordan Fuller),1.01,0.43
4,5:43,3,2,SFO 33,27,20,Brock Purdy pass incomplete short right intended for Deebo Samuel,0.43,-1.18
4,5:38,4,2,SFO 33,27,20,"Mitch Wishnowsky punts 67 yards, touchback.",-1.18,-0.28
4,5:29,1,10,LAR 20,27,20,Kyren Williams left end for 5 yards (tackle by Isaiah Oliver),0.28,0.41
4,5:03,2,5,LAR 25,27,20,Matthew Stafford pass incomplete short middle intended for Kyren Williams (defended by Javon Kinlaw),0.41,-0.3
4,4:58,3,5,LAR 25,27,20,Matthew Stafford pass short middle intended for Van Jefferson is intercepted by Deommodore Lenoir at LA-36 and returned for 21 yards (tackle by Coleman Shelton),-0.3,-4.58
4,4:48,1,10,LAR 15,27,20,Christian McCaffrey right tackle for 6 yards (tackle by Bobby Brown and Russ Yeast),4.58,5.03
4,4:02,2,4,LAR 9,27,20,Christian McCaffrey up the middle for 1 yard (tackle by Byron Young and Ernest Jones),5.03,4.45
4,3:05,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:05,3,3,LAR 8,27,20,Brock Purdy pass incomplete short right intended for Deebo Samuel,4.45,2.98
4,3:02,4,3,LAR 8,30,20,Jake Moody 26 yard field goal good,2.98,3
4,2:59,,,SFO 35,30,20,"Jake Moody kicks off 65 yards, touchback.. Penalty on Ronnie Bell: Offensive Offside, 5 yards (accepted)",0,0.94
4,2:59,1,10,LAR 30,30,20,Matthew Stafford pass incomplete short middle intended for Tyler Higbee,0.94,0.39
4,2:56,2,10,LAR 30,30,20,Matthew Stafford pass incomplete short middle intended for Puka Nacua,0.39,-0.3
4,2:52,3,10,LAR 30,30,20,Matthew Stafford pass complete short middle to Puka Nacua for 9 yards (tackle by Isaiah Oliver and Dre Greenlaw),-0.3,-0.78
4,2:29,4,1,LAR 39,30,20,Kyren Williams left tackle for -1 yards (tackle by Nick Bosa),-0.78,-3.05
4,2:23,1,10,LAR 38,30,20,Christian McCaffrey up the middle for 6 yards (tackle by Michael Hoecht and Jordan Fuller),3.05,3.32
4,2:17,,,,,,Timeout #1 by Los Angeles Rams,,
4,2:17,2,4,LAR 32,30,20,"Christian McCaffrey for no gain. Penalty on Charlie Woerner: Offensive Holding, 10 yards (accepted) (no play)",3.32,1.97
4,2:12,2,14,LAR 42,30,20,Christian McCaffrey right tackle for 2 yards (tackle by Ernest Jones and Bobby Brown),1.97,1.55
4,2:00,3,12,LAR 40,30,20,"Deebo Samuel left end for 2 yards (tackle by Cobie Durant and Russ Yeast). Penalty on Jauan Jennings: Illegal Crackback, 15 yards (accepted)",1.55,-0.16
4,1:52,3,25,SFO 47,30,20,Christian McCaffrey up the middle for 3 yards (tackle by Kobie Turner),-0.16,-0.06
