Quarter,Time,Down,ToGo,Location,NYG,SFO,Detail,EPB,EPA
3,11:38,2,7,SFO 7,6,17,"Brock Purdy aborted snap, recovered by Brock Purdy at SF-6 and returned for -1 yards Brock Purdy for no gain",-0.56,-1.19
3,11:01,3,8,SFO 6,6,17,Brock Purdy pass incomplete short left intended for Jauan Jennings (defended by Darnay Holmes),-1.19,-2.49
3,10:46,4,8,SFO 6,6,17,"Mitch Wishnowsky punts 46 yards, fair catch by Eric Gray at NYG-48. Penalty on Shemar Jean-Charles: Fair Catch Interference, 15 yards (accepted)",-2.49,-3.12
3,10:46,1,10,SFO 37,6,17,Daniel Jones pass complete short right to Parris Campbell for 7 yards (tackle by Charvarius Ward and Oren Burks),3.12,3.52
3,10:11,2,3,SFO 30,6,17,"Daniel Jones pass incomplete deep left intended for Darren Waller. Penalty on Deommodore Lenoir: Defensive Pass Interference, 22 yards (accepted) (no play)",3.52,5.37
3,10:06,1,8,SFO 8,12,17,"Matt Breida right tackle for 8 yards, touchdown",5.37,7
3,10:00,,,SFO 2,12,17,"Two Point Attempt: Daniel Jones pass incomplete, sacked by Daniel Jones sacked by",1,-1
3,10:00,,,NYG 35,12,17,"Graham Gano kicks off 65 yards, touchback.",0,0.61
3,10:00,1,10,SFO 25,12,17,Brock Purdy pass complete deep middle to Deebo Samuel for 40 yards (tackle by Micah McFadden),0.61,3.25
3,9:09,1,10,NYG 35,12,17,Brock Purdy sacked by and D.J. Davidson for -6 yards and Leonard Williams for -6 yards,3.25,1.89
3,8:26,2,16,NYG 41,12,17,Brock Purdy pass complete short right to George Kittle for 12 yards (tackle by Xavier McKinney),1.89,2.81
3,7:42,3,4,NYG 29,12,17,"Brock Purdy pass incomplete deep left intended for Deebo Samuel. Penalty on Darnay Holmes: Defensive Holding, 5 yards (accepted) (no play)",2.81,3.97
3,7:37,1,10,NYG 24,12,17,Christian McCaffrey up the middle for 4 yards (tackle by Dexter Lawrence),3.97,3.97
3,6:56,2,6,NYG 20,12,17,Brock Purdy pass complete short left to Christian McCaffrey for 6 yards (tackle by Adoree' Jackson),3.97,4.65
