Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA
2,5:32,2,12,DAL 41,7,14,Brock Purdy pass complete short left to Christian McCaffrey for 19 yards (tackle by Markquese Bell and Leighton Vander Esch),2.17,4.11
2,4:44,1,10,DAL 22,7,14,Jordan Mason up the middle for 8 yards (tackle by Donovan Wilson),4.11,4.85
2,4:06,2,2,DAL 14,7,14,Jordan Mason up the middle for 4 yards (tackle by Osa Odighizuwa and DaRon Bland),4.85,4.91
2,3:26,1,10,DAL 10,7,14,Brock Purdy pass complete short middle to Deebo Samuel for 9 yards (tackle by Damone Clark and Malik Hooker),4.91,5.91
2,2:40,2,1,DAL 1,7,20,"Christian McCaffrey left guard for 1 yard, touchdown",5.91,7
2,2:36,,,DAL 15,7,21,Jake Moody kicks extra point good,0,0
2,2:36,,,SFO 35,7,21,"Penalty on Aaron Banks: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",0,0
2,2:36,,,SFO 20,7,21,"Jake Moody kicks off 61 yards, returned by KaVontae Turpin for 15 yards (tackle by Jordan Mason)",0,1.2
2,2:32,1,10,DAL 34,7,21,Dak Prescott pass complete short right to Jake Ferguson for 5 yards (tackle by Isaiah Oliver),1.2,1.33
2,2:10,2,5,DAL 39,7,21,Dak Prescott pass incomplete short right intended for Tony Pollard,1.33,0.63
2,2:07,3,5,DAL 39,7,21,Dak Prescott pass complete short middle to Jake Ferguson for 3 yards (tackle by Isaiah Oliver and Fred Warner),0.63,-0.59
2,2:00,4,2,DAL 42,7,21,"Bryan Anger punts 52 yards, returned by Ray-Ray McCloud for 12 yards (tackle by Hunter Luepke)",-0.59,-0.04
2,1:51,1,10,SFO 18,7,21,Deebo Samuel up the middle for 8 yards (tackle by Leighton Vander Esch and Damone Clark),0.04,0.68
2,1:11,,,,,,Timeout #1 by San Francisco 49ers,,
2,1:11,2,2,SFO 26,7,21,Christian McCaffrey up the middle for no gain (tackle by Leighton Vander Esch),0.68,-0.14
2,1:04,,,,,,Timeout #1 by Dallas Cowboys,,
2,1:04,3,2,SFO 26,7,21,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk (defended by Jourdan Lewis),-0.14,-1.63
2,1:00,4,2,SFO 26,7,21,"Mitch Wishnowsky punts 59 yards, returned by Deuce Vaughn for 10 yards (tackle by Ambry Thomas and George Odum)",-1.63,-0.61
2,0:50,1,10,DAL 25,7,21,Dak Prescott pass incomplete deep left intended for Brandin Cooks,0.61,0.06
2,0:41,2,10,DAL 25,7,21,Dak Prescott sacked by Dre Greenlaw for -1 yards,0.06,-0.76
3,15:00,,,SFO 35,7,21,"Jake Moody kicks off 58 yards, returned by Rico Dowdle for 22 yards (tackle by Isaiah Oliver and George Odum)",0,0.87
3,14:53,1,10,DAL 29,7,21,Tony Pollard up the middle for 5 yards (tackle by Charvarius Ward),0.87,1
3,14:25,2,5,DAL 34,7,21,Dak Prescott pass complete short middle to CeeDee Lamb for 29 yards (tackle by Charvarius Ward),1,3.12
3,13:51,1,10,SFO 37,7,21,Tony Pollard right end for -1 yards (tackle by Nick Bosa),3.12,2.44
3,13:14,2,11,SFO 38,7,21,Dak Prescott pass complete short middle to Tony Pollard for 7 yards (tackle by Fred Warner),2.44,2.68
3,12:36,3,4,SFO 31,7,21,Rico Dowdle left guard for -1 yards (tackle by Javon Hargrave),2.68,1.26
3,11:58,4,5,SFO 32,10,21,Brandon Aubrey 50 yard field goal good,1.26,3
3,11:53,,,DAL 35,10,21,"Brandon Aubrey kicks off 65 yards, touchback.",0,0.61
3,11:53,1,10,SFO 25,10,21,"Penalty on Trent Williams: False Start, 5 yards (accepted) (no play)",0.61,0.28
