Quarter,Time,Down,ToGo,Location,TAM,SFO,Detail,EPB,EPA
2,1:33,1,10,TAM 34,7,10,Christian McCaffrey left end for -2 yards (tackle by Lavonte David),3.31,2.5
2,0:49,2,12,TAM 36,7,10,Brock Purdy pass complete short left to George Kittle for 9 yards (tackle by Lavonte David and Devin White),2.5,3.01
2,0:42,,,,,,Timeout #1 by San Francisco 49ers,,
2,0:42,3,3,TAM 27,7,10,Brock Purdy pass complete short left to Brandon Aiyuk for 10 yards (tackle by Dee Delaney),3.01,4.44
2,0:32,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:32,1,10,TAM 17,7,10,Brock Purdy pass complete short right to Christian McCaffrey for 2 yards (tackle by Antoine Winfield),4.44,4.15
2,0:28,2,8,TAM 15,7,10,Brock Purdy pass complete short right to George Kittle for 5 yards (tackle by Lavonte David),4.15,4.34
2,0:24,3,3,TAM 10,7,10,Brock Purdy pass incomplete short middle intended for Jauan Jennings,4.34,2.86
2,0:20,4,3,TAM 10,7,13,Jake Moody 28 yard field goal good,2.86,3
2,0:16,,,SFO 35,7,13,"Jake Moody kicks off 65 yards, touchback.",0,0.61
2,0:16,1,10,TAM 25,7,13,Baker Mayfield kneels for -1 yards,0.61,-0.07
3,15:00,,,SFO 35,7,13,"Jake Moody kicks off 65 yards, returned by Deven Thompkins for 23 yards (tackle by Jordan Mason)",0,0.48
3,14:54,1,10,TAM 23,7,13,Rachaad White up the middle for 7 yards (tackle by Fred Warner and Tashaun Gipson),0.48,0.88
3,14:15,2,3,TAM 30,7,13,Rachaad White right guard for 5 yards (tackle by Javon Hargrave and Nick Bosa),0.88,1.27
3,13:33,1,10,TAM 35,7,13,Baker Mayfield pass incomplete deep left intended for Mike Evans,1.27,0.72
3,13:27,2,10,TAM 35,7,13,Baker Mayfield pass complete short middle to Chris Godwin for 7 yards (tackle by Fred Warner),0.72,0.96
3,12:42,3,3,TAM 42,7,13,Baker Mayfield pass incomplete deep right intended for Trey Palmer (defended by Charvarius Ward),0.96,-0.59
3,12:36,4,3,TAM 42,7,13,Jake Camarda punts 56 yards out of bounds,-0.59,0.38
3,12:28,1,10,SFO 2,7,13,Christian McCaffrey up the middle for 1 yard (tackle by Antoine Winfield and Shaquil Barrett),-0.38,-0.71
3,11:46,2,9,SFO 3,7,13,Brock Purdy pass complete short left to George Kittle for 21 yards (tackle by Jamel Dean),-0.71,0.54
3,11:06,1,10,SFO 24,7,19,"Brock Purdy pass complete deep left to Brandon Aiyuk for 76 yards, touchdown",0.54,7
3,10:54,,,TAM 15,7,20,Jake Moody kicks extra point good,0,0
3,10:54,,,SFO 35,7,20,"Jake Moody kicks off 62 yards, returned by Deven Thompkins for 16 yards (tackle by Charlie Woerner). Penalty on Payne Durham: Offensive Illegal Block Above the Waist, 10 yards (declined) . Penalty on SirVocea Dennis: Offensive Illegal Block Above the Waist, 9 yards (accepted)",0,-0.38
3,10:48,1,10,TAM 10,7,20,Rachaad White left tackle for no gain (tackle by Javon Kinlaw and Dre Greenlaw),-0.38,-0.78
3,10:04,2,10,TAM 10,7,20,Baker Mayfield pass complete short right to Trey Palmer for -1 yards (tackle by Charvarius Ward),-0.78,-1.54
