Quarter,Time,Down,ToGo,Location,SFO,CAR,Detail,EPB,EPA
4,4:06,1,3,CAR 3,30,15,Tevin Coleman up the middle for -2 yards (tackle by Damien Wilson and Cory Littleton),6.51,5.15
4,3:20,2,5,CAR 5,36,15,"Tevin Coleman left end for 5 yards, touchdown",5.15,7
4,3:15,,,CAR 15,37,15,Mitch Wishnowsky kicks extra point good,0,0
4,3:15,,,SFO 35,37,15,"Mitch Wishnowsky kicks off 57 yards, returned by Raheem Blackshear for 17 yards (tackle by Charlie Woerner)",0,0.61
4,3:10,1,10,CAR 25,37,15,P.J. Walker pass complete short left to Giovanni Ricci for 9 yards (tackle by Demetrius Flannigan-Fowles),0.61,1.28
4,2:49,2,1,CAR 34,37,15,P.J. Walker pass complete to Terrace Marshall for 5 yards (tackle by Ambry Thomas),1.28,1.53
4,2:25,1,10,CAR 39,37,15,P.J. Walker pass complete short right to Terrace Marshall for 12 yards (tackle by Ambry Thomas),1.53,2.32
4,2:20,1,10,SFO 49,37,15,P.J. Walker pass complete deep middle to Shi Smith for 22 yards (tackle by Demetrius Flannigan-Fowles),2.32,3.78
4,2:00,1,10,SFO 27,37,15,P.J. Walker sacked by and Tashaun Gipson for -5 yards and Oren Burks for -5 yards,3.78,2.56
4,1:34,2,15,SFO 32,37,15,P.J. Walker sacked by Demetrius Flannigan-Fowles for -10 yards,2.56,0.56
4,1:06,3,25,SFO 42,37,15,P.J. Walker pass complete short right to Giovanni Ricci for 12 yards (tackle by Talanoa Hufanga),0.56,1.41
4,0:27,4,13,SFO 30,37,15,P.J. Walker pass incomplete deep right intended for D.J. Moore,1.41,-0.94
4,0:22,1,10,SFO 30,37,15,Brock Purdy kneels for -1 yards,0.94,0.26
