Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA
3,13:33,1,10,SFO 16,20,13,"Clyde Edwards-Helaire right end for 16 yards, touchdown",4.51,7
3,13:28,,,SFO 15,21,13,Harrison Butker kicks extra point good,0,0
3,13:28,,,KAN 35,21,13,"Harrison Butker kicks off 64 yards, returned by Ray-Ray McCloud for 16 yards (tackle by Bryan Cook)",0,-0.06
3,13:25,1,10,SFO 17,21,13,Christian McCaffrey right tackle for no gain (tackle by Justin Reid),-0.06,-0.58
3,12:45,2,10,SFO 17,21,13,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,-0.58,-1.25
3,12:42,3,10,SFO 17,21,13,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 17 yards (tackle by Juan Thornhill),-1.25,1.2
3,11:58,1,10,SFO 34,21,13,Jeff Wilson up the middle for 15 yards (tackle by Juan Thornhill and George Karlaftis),1.2,2.19
3,11:11,1,10,SFO 49,21,13,Jeff Wilson left guard for 3 yards (tackle by Derrick Nnadi and Chris Jones),2.19,2.05
3,10:33,2,7,KAN 48,21,13,Jimmy Garoppolo pass complete short left to Deebo Samuel for 4 yards (tackle by Willie Gay and Malik Herring),2.05,1.88
3,9:54,3,3,KAN 44,21,13,Jeff Wilson up the middle for 10 yards (tackle by Justin Reid and L'Jarius Sneed),1.88,3.31
3,9:12,1,10,KAN 34,21,13,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 4 yards (tackle by Willie Gay and Jaylen Watson),3.31,3.31
3,8:30,2,6,KAN 30,21,13,Jeff Wilson up the middle for -1 yards (tackle by Nick Bolton),3.31,2.48
3,7:50,3,7,KAN 31,21,13,"Jimmy Garoppolo pass incomplete short left intended for George Kittle. Penalty on Trent Williams: Illegal Formation, 5 yards (declined)",2.48,1.32
3,7:46,4,7,KAN 31,21,16,Robbie Gould 49 yard field goal good,1.32,3
3,7:41,,,SFO 35,21,16,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
