Quarter,Time,Down,ToGo,Location,NOR,SFO,Detail,EPB,EPA
3,15:00,1,10,SFO 25,0,10,Elijah Mitchell left tackle for 4 yards (tackle by Shy Tuttle),0.61,0.6
3,14:24,2,6,SFO 29,0,10,Jimmy Garoppolo pass complete short left to Deebo Samuel for 16 yards (tackle by Kaden Elliss),0.6,1.93
3,13:53,1,10,SFO 45,0,10,Elijah Mitchell left guard for no gain (tackle by Zack Baun and Marcus Davenport),1.93,1.38
3,13:20,2,10,SFO 45,0,10,Jimmy Garoppolo pass complete short right to Deebo Samuel for 7 yards (tackle by Tanoh Kpassagnon and Kaden Elliss),1.38,1.62
3,12:40,3,3,NOR 48,0,10,"Jimmy Garoppolo pass short middle is intercepted by Alontae Taylor at NO-44 and returned for no gain. Penalty on Chris Harris: Illegal Contact, 5 yards (accepted) (no play)",1.62,2.72
3,12:29,1,10,NOR 43,0,10,"Deebo Samuel right end for no gain (tackle by Demario Davis). Penalty on Jake Brendel: Offensive Holding, 10 yards (accepted) (no play)",2.72,2.06
3,12:05,1,20,SFO 47,0,10,"Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 11 yards (tackle by Chris Harris). Penalty on Malcolm Roach: Roughing the Passer, 15 yards (accepted)",2.06,3.78
3,11:44,1,10,NOR 27,0,10,"Jordan Mason up the middle for no gain (tackle by Tyrann Mathieu). Penalty on Kyle Juszczyk: Illegal Shift, 5 yards (accepted) (no play)",3.78,3.45
3,11:21,1,15,NOR 32,0,10,Jimmy Garoppolo pass incomplete short middle intended for Deebo Samuel,3.45,2.56
3,11:17,2,15,NOR 32,0,10,Christian McCaffrey right guard for 4 yards (tackle by Tanoh Kpassagnon and Shy Tuttle),2.56,2.41
3,10:36,3,11,NOR 28,0,10,Jimmy Garoppolo pass incomplete deep right intended for Brandon Aiyuk (defended by Paulson Adebo),2.41,1.59
3,10:30,4,11,NOR 28,0,13,Robbie Gould 46 yard field goal good,1.59,3
3,10:25,,,SFO 35,0,13,"Robbie Gould kicks off 65 yards, touchback.",0,0.61
3,10:25,1,10,NOR 25,0,13,Andy Dalton pass complete short right to Jarvis Landry for 8 yards (tackle by Azeez Al-Shaair),0.61,1.14
3,9:50,2,2,NOR 33,0,13,Taysom Hill right tackle for 1 yard (tackle by Samson Ebukam),1.14,0.56
3,9:06,3,1,NOR 34,0,13,Alvin Kamara up the middle for 3 yards (tackle by Dre Greenlaw and Hassan Ridgeway),0.56,1.4
3,8:34,1,10,NOR 37,0,13,Andy Dalton pass complete short left to Alvin Kamara for 10 yards (tackle by Talanoa Hufanga),1.4,2.06
3,7:56,1,10,NOR 47,0,13,Taysom Hill left tackle for no gain (tackle by Fred Warner),2.06,1.52
3,7:19,2,10,NOR 47,0,13,Andy Dalton pass complete short left to Jarvis Landry for 12 yards (tackle by Talanoa Hufanga),1.52,2.85
3,6:43,1,10,SFO 41,0,13,Mark Ingram up the middle for 5 yards (tackle by Jimmie Ward and Kerry Hyder),2.85,2.98
3,6:06,2,5,SFO 36,0,13,Rashid Shaheed left end for 6 yards (tackle by Deommodore Lenoir),2.98,3.58
3,5:29,1,10,SFO 30,0,13,Andy Dalton pass complete short left to Alvin Kamara for 7 yards (tackle by Deommodore Lenoir),3.58,3.98
3,4:53,2,3,SFO 23,0,13,Taysom Hill for -2 yards (tackle by Drake Jackson and Nick Bosa),3.98,3.01
3,4:12,3,5,SFO 25,0,13,Andy Dalton pass incomplete deep left intended for Rashid Shaheed,3.01,1.85
3,4:11,4,5,SFO 25,0,13,"Penalty on Ryan Ramczyk: False Start, 5 yards (accepted) (no play)",1.85,1.41
3,4:11,4,10,SFO 30,0,13,Wil Lutz 48 yard field goal no good,1.41,-1.47
3,4:07,1,10,SFO 38,0,13,Jordan Mason up the middle for no gain (tackle by Malcolm Roach),1.47,0.92
3,3:25,2,10,SFO 38,0,13,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 1 yard (tackle by Kaden Elliss),0.92,0.37
3,2:41,3,9,SFO 39,0,13,Jimmy Garoppolo pass complete short right to Brandon Aiyuk for 6 yards (tackle by Alontae Taylor and Marcus Maye),0.37,-0.39
3,2:00,4,3,SFO 45,0,13,"Mitch Wishnowsky punts 43 yards, fair catch by Rashid Shaheed at NO-12",-0.39,0.35
3,1:51,1,10,NOR 12,0,13,Taysom Hill for 6 yards (tackle by Tashaun Gipson and Azeez Al-Shaair),-0.35,-0.07
3,1:11,2,4,NOR 18,0,13,Andy Dalton pass complete short right to Alvin Kamara for 1 yard (tackle by Talanoa Hufanga),-0.07,-0.6
3,0:28,3,3,NOR 19,0,13,Andy Dalton pass complete short right to Rashid Shaheed for 18 yards (tackle by Deommodore Lenoir),-0.6,1.4
4,15:00,1,10,NOR 37,0,13,Andy Dalton pass incomplete deep right intended for Chris Olave,1.4,0.86
4,14:56,2,10,NOR 37,0,13,Andy Dalton pass complete deep right to Chris Olave for 20 yards,0.86,2.72
4,14:15,1,10,SFO 43,0,13,Andy Dalton pass incomplete short left intended for Alvin Kamara (defended by Fred Warner),2.72,2.18
4,14:10,2,10,SFO 43,0,13,Andy Dalton scrambles right end for 9 yards (tackle by Fred Warner),2.18,2.68
4,13:32,3,1,SFO 34,0,13,Andy Dalton pass incomplete short left intended for Chris Olave,2.68,1.1
4,13:30,4,1,SFO 34,0,13,"Andy Dalton pass incomplete short left intended for Juwan Johnson. Penalty on Talanoa Hufanga: Defensive Holding, 5 yards (declined) . Penalty on Nick Bosa: Roughing the Passer, 15 yards (accepted) (no play)",1.1,4.31
4,13:21,1,10,SFO 19,0,13,Andy Dalton scrambles up the middle for 1 yard (tackle by Kerry Hyder),4.31,3.88
4,12:40,2,9,SFO 18,0,13,Andy Dalton pass complete short left to Chris Olave for 12 yards (tackle by Deommodore Lenoir and Tashaun Gipson),3.88,5.83
4,11:59,1,6,SFO 6,0,13,Alvin Kamara right tackle for no gain (tackle by Hassan Ridgeway),5.83,4.95
4,11:20,2,6,SFO 6,0,13,"Andy Dalton pass complete short right to Alvin Kamara for 5 yards. Alvin Kamara fumbles (forced by Talanoa Hufanga) (tackle by Fred Warner), recovered by Dre Greenlaw at SF-1 (tackle by Fred Warner) (tackle by Fred Warner) (tackle by Talanoa Hufanga) (tackle by Dre Greenlaw) (tackle by Talanoa Hufanga)",4.95,0.38
4,11:05,1,10,SFO 1,0,13,Christian McCaffrey up the middle for 1 yard (tackle by Kaden Elliss),-0.38,-0.71
4,10:24,2,9,SFO 2,0,13,Jimmy Garoppolo for 3 yards (tackle by David Onyemata),-0.71,-0.95
4,9:49,3,6,SFO 5,0,13,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,-0.95,-2.49
4,9:45,4,6,SFO 5,0,13,"Mitch Wishnowsky punts 45 yards, returned by Rashid Shaheed for 11 yards (tackle by Tarvarius Moore)",-2.49,-2.98
4,9:35,1,10,SFO 39,0,13,Mark Ingram left tackle for 2 yards (tackle by Fred Warner),2.98,2.71
4,8:55,2,8,SFO 37,0,13,"Penalty on T.Y. McGill: Neutral Zone Infraction, 5 yards (accepted) (no play)",2.71,3.39
4,8:40,2,3,SFO 32,0,13,Andy Dalton scrambles left end for 1 yard (tackle by Dre Greenlaw),3.39,2.81
4,7:58,3,2,SFO 31,0,13,Andy Dalton pass complete deep right to Chris Olave for 19 yards (tackle by Talanoa Hufanga),2.81,4.78
4,7:23,1,10,SFO 12,0,13,Andy Dalton pass incomplete short middle intended for Juwan Johnson (defended by Fred Warner),4.78,4.1
4,7:19,2,10,SFO 12,0,13,Taysom Hill right end for 4 yards (tackle by Charvarius Ward and Talanoa Hufanga),4.1,3.93
4,6:40,3,6,SFO 8,0,13,"Andy Dalton pass incomplete short middle intended for Chris Olave. Penalty on Deommodore Lenoir: Defensive Holding, 4 yards (accepted) (no play)",3.93,6.28
4,6:36,1,4,SFO 4,0,13,Andy Dalton pass incomplete short right intended for Jarvis Landry,6.28,5.34
4,6:30,2,4,SFO 4,0,13,Andy Dalton pass incomplete short right intended for Mark Ingram,5.34,4.49
4,6:26,,,,,,Timeout #1 by New Orleans Saints,,
4,6:26,3,4,SFO 4,0,13,Andy Dalton pass incomplete short left intended for Taysom Hill,4.49,3.03
4,6:23,4,4,SFO 4,0,13,Andy Dalton sacked by Nick Bosa for -7 yards,3.03,0.37
4,6:18,1,10,SFO 11,0,13,Christian McCaffrey left tackle for 9 yards (tackle by Alontae Taylor),-0.37,0.36
4,5:37,2,1,SFO 20,0,13,Jimmy Garoppolo up the middle for 3 yards (tackle by Kaden Elliss),0.36,0.48
4,4:56,1,10,SFO 23,0,13,Christian McCaffrey up the middle for 2 yards (tackle by Kaden Elliss),0.48,0.2
4,4:11,2,8,SFO 25,0,13,Christian McCaffrey right tackle for 3 yards (tackle by Kentavius Street),0.2,-0.1
4,4:07,,,,,,Timeout #2 by New Orleans Saints,,
4,4:07,3,5,SFO 28,0,13,Jimmy Garoppolo pass complete short left to Jauan Jennings for 6 yards (tackle by Chris Harris),-0.1,1.2
4,3:22,1,10,SFO 34,0,13,Jordan Mason up the middle for 9 yards (tackle by Paulson Adebo and Marcus Maye),1.2,1.87
4,2:38,2,1,SFO 43,0,13,Jordan Mason up the middle for 4 yards (tackle by Marcus Davenport),1.87,2.06
4,2:33,,,,,,Timeout #3 by New Orleans Saints,,
4,2:33,1,10,SFO 47,0,13,Jordan Mason up the middle for 5 yards (tackle by Shy Tuttle),2.06,2.19
4,2:00,2,5,NOR 48,0,13,Jordan Mason up the middle for 7 yards (tackle by Tyrann Mathieu and Marcus Maye),2.19,2.85
4,1:16,1,10,NOR 41,0,13,Jimmy Garoppolo kneels for -1 yards,2.85,2.17
4,0:39,2,11,NOR 42,0,13,Jimmy Garoppolo kneels for -1 yards,2.17,1.35
